Sample in Buffer,Sample in Window,TRIGGER,ila_data_rx[191:0],userdata_rx_0[31:0],userdata_rx_1[31:0],rxdata_ctr_0[15:0],rxdata_ctr_1[15:0],ch0_rxctrl2[7:0],ch1_rxctrl2[7:0],rxbyteisaligned_i[1:0],rxbyterealign_i[1:0],rxcommadet_i[1:0],prbs_match_i[1:0],rxdata_errctr_0[15:0],rxdata_errctr_1[15:0],rxdata_nmlctr_i[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
939,939,0,072c2be354000c000cc0006300000000e0fdd444e0fdd444,e0fdd444,e0fdd444,0000,0000,63,00,0,0,0,3,000c,000c,072c2be354
940,940,0,072c2be355000c000cc0006300000000918ec899918ec899,918ec899,918ec899,0000,0000,63,00,0,0,0,3,000c,000c,072c2be355
941,941,0,072c2be356000c000cc00063000000001e20773a1e20773a,1e20773a,1e20773a,0000,0000,63,00,0,0,0,3,000c,000c,072c2be356
942,942,0,072c2be357000c000cc0006300000000610dc311610dc311,610dc311,610dc311,0000,0000,63,00,0,0,0,3,000c,000c,072c2be357
943,943,0,072c2be358000c000cc0006300000000a969c246a969c246,a969c246,a969c246,0000,0000,63,00,0,0,0,3,000c,000c,072c2be358
944,944,0,072c2be359000c000cc000630000000021dd82f821dd82f8,21dd82f8,21dd82f8,0000,0000,63,00,0,0,0,3,000c,000c,072c2be359
945,945,0,072c2be35a000c000cc00063000000002d0ce6ac2d0ce6ac,2d0ce6ac,2d0ce6ac,0000,0000,63,00,0,0,0,3,000c,000c,072c2be35a
946,946,0,072c2be35b000c000cc00063000000005ba942c35ba942c3,5ba942c3,5ba942c3,0000,0000,63,00,0,0,0,3,000c,000c,072c2be35b
947,947,0,072c2be35c000c000cc0006300000000f791cab2f791cab2,f791cab2,f791cab2,0000,0000,63,00,0,0,0,3,000c,000c,072c2be35c
948,948,0,072c2be35d000c000cc0006300000000db4e060ddb4e060d,db4e060d,db4e060d,0000,0000,63,00,0,0,0,3,000c,000c,072c2be35d
949,949,0,072c2be35e000c000cc00063000000008fec1c998fec1c99,8fec1c99,8fec1c99,0000,0000,63,00,0,0,0,3,000c,000c,072c2be35e
950,950,0,072c2be35f000c000cc000630000000010f7307a10f7307a,10f7307a,10f7307a,0000,0000,63,00,0,0,0,3,000c,000c,072c2be35f
951,951,0,072c2be360000c000cc0006300000000268b14c5268b14c5,268b14c5,268b14c5,0000,0000,63,00,0,0,0,3,000c,000c,072c2be360
952,952,0,072c2be361000c000cc00063000000007ed2c4d17ed2c4d1,7ed2c4d1,7ed2c4d1,0000,0000,63,00,0,0,0,3,000c,000c,072c2be361
953,953,0,072c2be362000c000cc0006300000000677bb1da677bb1da,677bb1da,677bb1da,0000,0000,63,00,0,0,0,3,000c,000c,072c2be362
954,954,0,072c2be363000c000cc0006300000000ba359c0fba359c0f,ba359c0f,ba359c0f,0000,0000,63,00,0,0,0,3,000c,000c,072c2be363
955,955,0,072c2be364000c000cc00063000000002946683829466838,29466838,29466838,0000,0000,63,00,0,0,0,3,000c,000c,072c2be364
956,956,0,072c2be365000c000cc0006300000000e9c8ad60e9c8ad60,e9c8ad60,e9c8ad60,0000,0000,63,00,0,0,0,3,000c,000c,072c2be365
957,957,0,072c2be366000c000cc00063000000009587239995872399,95872399,95872399,0000,0000,63,00,0,0,0,3,000c,000c,072c2be366
958,958,0,072c2be367000c000cc00063000000001c641c0a1c641c0a,1c641c0a,1c641c0a,0000,0000,63,00,0,0,0,3,000c,000c,072c2be367
959,959,0,072c2be368000c000cc0006300000000500bb03a500bb03a,500bb03a,500bb03a,0000,0000,63,00,0,0,0,3,000c,000c,072c2be368
960,960,0,072c2be369000c000cc000630000000042fa9ce142fa9ce1,42fa9ce1,42fa9ce1,0000,0000,63,00,0,0,0,3,000c,000c,072c2be369
