Sample in Buffer,Sample in Window,TRIGGER,ila_data[265:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
217,217,0,3b0bdc9f569bdc9f569bdc9f569bdc9f569bdc9f566bdc9f566bdc9f566bdc9f566,bdc9f566,bdc9f566,bdc9f566,bdc9f566,bdc9f569,bdc9f569,bdc9f569,bdc9f569,0,1,1,0,1,1,1
218,218,0,3b0bdc9f56abdc9f56abdc9f56abdc9f56abdc9f567bdc9f567bdc9f567bdc9f567,bdc9f567,bdc9f567,bdc9f567,bdc9f567,bdc9f56a,bdc9f56a,bdc9f56a,bdc9f56a,0,1,1,0,1,1,1
219,219,0,3b0bdc9f56bbdc9f56bbdc9f56bbdc9f56bbdc9f568bdc9f568bdc9f568bdc9f568,bdc9f568,bdc9f568,bdc9f568,bdc9f568,bdc9f56b,bdc9f56b,bdc9f56b,bdc9f56b,0,1,1,0,1,1,1
220,220,0,2a0bdc9f56cbdc9f56cbdc9f56cbdc9f56cbdc9f569bdc9f569bdc9f569bdc9f569,bdc9f569,bdc9f569,bdc9f569,bdc9f569,bdc9f56c,bdc9f56c,bdc9f56c,bdc9f56c,0,0,1,0,1,0,1
221,221,0,2a0bdc9f56dbdc9f56dbdc9f56dbdc9f56dbdc9f56abdc9f56abdc9f56abdc9f56a,bdc9f56a,bdc9f56a,bdc9f56a,bdc9f56a,bdc9f56d,bdc9f56d,bdc9f56d,bdc9f56d,0,0,1,0,1,0,1
222,222,0,3b0bdc9f56ebdc9f56ebdc9f56ebdc9f56ebdc9f56bbdc9f56bbdc9f56bbdc9f56b,bdc9f56b,bdc9f56b,bdc9f56b,bdc9f56b,bdc9f56e,bdc9f56e,bdc9f56e,bdc9f56e,0,1,1,0,1,1,1
223,223,0,3b0bdc9f56fbdc9f56fbdc9f56fbdc9f56fbdc9f56cbdc9f56cbdc9f56cbdc9f56c,bdc9f56c,bdc9f56c,bdc9f56c,bdc9f56c,bdc9f56f,bdc9f56f,bdc9f56f,bdc9f56f,0,1,1,0,1,1,1
224,224,0,3b0bdc9f570bdc9f570bdc9f570bdc9f570bdc9f56dbdc9f56dbdc9f56dbdc9f56d,bdc9f56d,bdc9f56d,bdc9f56d,bdc9f56d,bdc9f570,bdc9f570,bdc9f570,bdc9f570,0,1,1,0,1,1,1
225,225,0,2a0bdc9f571bdc9f571bdc9f571bdc9f571bdc9f56ebdc9f56ebdc9f56ebdc9f56e,bdc9f56e,bdc9f56e,bdc9f56e,bdc9f56e,bdc9f571,bdc9f571,bdc9f571,bdc9f571,0,0,1,0,1,0,1
226,226,0,2a0bdc9f572bdc9f572bdc9f572bdc9f572bdc9f56fbdc9f56fbdc9f56fbdc9f56f,bdc9f56f,bdc9f56f,bdc9f56f,bdc9f56f,bdc9f572,bdc9f572,bdc9f572,bdc9f572,0,0,1,0,1,0,1
227,227,0,3b0bdc9f573bdc9f573bdc9f573bdc9f573bdc9f570bdc9f570bdc9f570bdc9f570,bdc9f570,bdc9f570,bdc9f570,bdc9f570,bdc9f573,bdc9f573,bdc9f573,bdc9f573,0,1,1,0,1,1,1
228,228,0,3b0bdc9f574bdc9f574bdc9f574bdc9f574bdc9f571bdc9f571bdc9f571bdc9f571,bdc9f571,bdc9f571,bdc9f571,bdc9f571,bdc9f574,bdc9f574,bdc9f574,bdc9f574,0,1,1,0,1,1,1
229,229,0,3b0bdc9f575bdc9f575bdc9f575bdc9f575bdc9f572bdc9f572bdc9f572bdc9f572,bdc9f572,bdc9f572,bdc9f572,bdc9f572,bdc9f575,bdc9f575,bdc9f575,bdc9f575,0,1,1,0,1,1,1
230,230,0,2a0bdc9f576bdc9f576bdc9f576bdc9f576bdc9f573bdc9f573bdc9f573bdc9f573,bdc9f573,bdc9f573,bdc9f573,bdc9f573,bdc9f576,bdc9f576,bdc9f576,bdc9f576,0,0,1,0,1,0,1
231,231,0,2a0bdc9f577bdc9f577bdc9f577bdc9f577bdc9f574bdc9f574bdc9f574bdc9f574,bdc9f574,bdc9f574,bdc9f574,bdc9f574,bdc9f577,bdc9f577,bdc9f577,bdc9f577,0,0,1,0,1,0,1
232,232,0,3b0bdc9f578bdc9f578bdc9f578bdc9f578bdc9f575bdc9f575bdc9f575bdc9f575,bdc9f575,bdc9f575,bdc9f575,bdc9f575,bdc9f578,bdc9f578,bdc9f578,bdc9f578,0,1,1,0,1,1,1
233,233,0,3b0bdc9f579bdc9f579bdc9f579bdc9f579bdc9f576bdc9f576bdc9f576bdc9f576,bdc9f576,bdc9f576,bdc9f576,bdc9f576,bdc9f579,bdc9f579,bdc9f579,bdc9f579,0,1,1,0,1,1,1
234,234,0,3b0bdc9f57abdc9f57abdc9f57abdc9f57abdc9f577bdc9f577bdc9f577bdc9f577,bdc9f577,bdc9f577,bdc9f577,bdc9f577,bdc9f57a,bdc9f57a,bdc9f57a,bdc9f57a,0,1,1,0,1,1,1
235,235,0,2a0bdc9f57bbdc9f57bbdc9f57bbdc9f57bbdc9f578bdc9f578bdc9f578bdc9f578,bdc9f578,bdc9f578,bdc9f578,bdc9f578,bdc9f57b,bdc9f57b,bdc9f57b,bdc9f57b,0,0,1,0,1,0,1
