Sample in Buffer,Sample in Window,TRIGGER,ila_data[617:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
142,142,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fe6341fd9e6341fd9e6341fd9e6341fd92e9af66190d0111ffa5b2ba92e9af661
143,143,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f739f7a0e739f7a0e739f7a0e739f7a0eac8a4ea0b0f5d98f73727c45ac8a4ea0
144,144,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fe685d5dde685d5dde685d5dde685d5ddcb250cf4f0c8448775f14b9ac32109f4
145,145,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fc4f88a7dc4f88a7dc4f88a7dc4f88a7dc22d334f8afac14952cbb56cc22d334f
146,146,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f68f7351368f7351368f7351368f73513c1f667a072583671431baa55c1f667a0
147,147,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fe59c1eede59c1eede59c1eede59c1eede925a3cd9e7bc06955ff7425e925a3cd
148,148,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000feb725286eb725286eb725286eb7252868fe9ae79db4427f2f0f5b2248fe9ae79
149,149,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fafe57e39afe57e39afe57e39afe57e39298da571cec115a18b857682298584f5
150,150,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f6988fb8c6988fb8c6988fb8c6988fb8ca173969f57e459feb5510dd9a173969f
151,151,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f23357a8523357a8523357a8523357a85930f81b0c1db8d397f48c73c930f81b0
152,152,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fd68adf90d68adf90d68adf90d68adf90bc243742dc31a5c20a2fa72abc243742
153,153,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f48fb48ee48fb48ee48fb48ee48fb48eedf6c7ce20107f9189dbf0640df6c7ce2
154,154,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f46baebb146baebb146baebb146baebb1629b94c3c69a84e5ce9dcd42229f95c3
155,155,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f481ca9d5081ca9d5081ca9d5081ca9d51ea2f8b8d98b62d47144ac281ea2f8b8
156,156,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f0c8782de0c8782de0c8782de0c8782dea6a5f12f59848c2506c7587aa6a5f12f
